




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	Client Text Box Input (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	Client Text Box Input (4344)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
detection of chemical stimulus involved in sensory perception of smell (GO:0050911)	441	0	93.02	-	 < 0.01	1.39E-37	1.10E-33
detection of chemical stimulus involved in sensory perception (GO:0050907)	486	2	102.51	-	.02	7.75E-38	1.23E-33
sensory perception of smell (GO:0007608)	468	2	98.71	-	.02	2.62E-36	1.38E-32
detection of chemical stimulus (GO:0009593)	522	7	110.10	-	.06	3.61E-34	1.43E-30
sensory perception of chemical stimulus (GO:0007606)	543	10	114.53	-	.09	8.33E-33	2.63E-29
regulation of primary metabolic process (GO:0080090)	5925	1622	1249.73	+	1.30	3.90E-28	8.81E-25
regulation of cellular metabolic process (GO:0031323)	6138	1670	1294.66	+	1.29	3.75E-28	9.87E-25
regulation of cellular macromolecule biosynthetic process (GO:2000112)	3968	1161	836.95	+	1.39	4.78E-27	9.45E-24
regulation of biosynthetic process (GO:0009889)	4226	1221	891.37	+	1.37	6.88E-27	1.21E-23
regulation of macromolecule biosynthetic process (GO:0010556)	3999	1167	843.49	+	1.38	8.18E-27	1.29E-23
regulation of cellular biosynthetic process (GO:0031326)	4163	1205	878.08	+	1.37	9.12E-27	1.31E-23
regulation of nitrogen compound metabolic process (GO:0051171)	5740	1569	1210.71	+	1.30	1.31E-26	1.72E-23
regulation of metabolic process (GO:0019222)	6874	1819	1449.90	+	1.25	4.39E-26	5.34E-23
regulation of nucleobase-containing compound metabolic process (GO:0019219)	4049	1170	854.04	+	1.37	1.45E-25	1.64E-22
regulation of macromolecule metabolic process (GO:0060255)	6340	1693	1337.26	+	1.27	3.72E-25	3.92E-22
regulation of RNA metabolic process (GO:0051252)	3782	1092	797.72	+	1.37	1.84E-23	1.82E-20
detection of stimulus involved in sensory perception (GO:0050906)	557	24	117.49	-	.20	7.12E-23	6.62E-20
regulation of gene expression (GO:0010468)	4922	1348	1038.17	+	1.30	4.53E-22	3.97E-19
negative regulation of cellular process (GO:0048523)	4902	1334	1033.95	+	1.29	6.32E-21	5.26E-18
regulation of transcription by RNA polymerase II (GO:0006357)	2595	787	547.35	+	1.44	9.39E-21	7.42E-18
regulation of nucleic acid-templated transcription (GO:1903506)	3475	999	732.96	+	1.36	1.25E-20	8.99E-18
regulation of RNA biosynthetic process (GO:2001141)	3480	1000	734.02	+	1.36	1.31E-20	9.01E-18
regulation of transcription, DNA-templated (GO:0006355)	3474	999	732.75	+	1.36	1.24E-20	9.32E-18
nervous system development (GO:0007399)	2218	691	467.83	+	1.48	2.47E-20	1.63E-17
detection of stimulus (GO:0051606)	721	49	152.08	-	.32	6.02E-20	3.81E-17
negative regulation of biosynthetic process (GO:0009890)	1643	540	346.55	+	1.56	1.44E-19	8.75E-17
negative regulation of cellular macromolecule biosynthetic process (GO:2000113)	1540	512	324.82	+	1.58	2.82E-19	1.65E-16
negative regulation of cellular biosynthetic process (GO:0031327)	1610	529	339.59	+	1.56	4.44E-19	2.51E-16
biological regulation (GO:0065007)	12568	2962	2650.91	+	1.12	4.90E-19	2.67E-16
negative regulation of macromolecule biosynthetic process (GO:0010558)	1551	513	327.14	+	1.57	6.13E-19	3.23E-16
cellular metabolic process (GO:0044237)	7542	1898	1590.80	+	1.19	4.45E-18	2.27E-15
regulation of biological process (GO:0050789)	11898	2812	2509.59	+	1.12	1.49E-17	7.37E-15
nitrogen compound metabolic process (GO:0006807)	6886	1749	1452.43	+	1.20	1.62E-17	7.75E-15
negative regulation of biological process (GO:0048519)	5501	1441	1160.30	+	1.24	1.82E-17	8.23E-15
regulation of cellular process (GO:0050794)	11351	2699	2394.21	+	1.13	1.77E-17	8.25E-15
cellular macromolecule metabolic process (GO:0044260)	4909	1306	1035.43	+	1.26	2.18E-17	9.56E-15
cellular component organization or biogenesis (GO:0071840)	6006	1551	1266.82	+	1.22	3.76E-17	1.56E-14
adaptive immune response (GO:0002250)	658	47	138.79	-	.34	3.74E-17	1.60E-14
primary metabolic process (GO:0044238)	7352	1843	1550.72	+	1.19	1.24E-16	5.02E-14
negative regulation of cellular metabolic process (GO:0031324)	2613	762	551.15	+	1.38	1.66E-16	6.55E-14
negative regulation of macromolecule metabolic process (GO:0010605)	2880	826	607.46	+	1.36	1.83E-16	7.05E-14
negative regulation of nitrogen compound metabolic process (GO:0051172)	2453	722	517.40	+	1.40	2.21E-16	8.30E-14
positive regulation of nucleobase-containing compound metabolic process (GO:0045935)	1941	596	409.41	+	1.46	2.38E-16	8.75E-14
positive regulation of cellular metabolic process (GO:0031325)	3314	928	699.01	+	1.33	2.56E-16	9.20E-14
multicellular organism development (GO:0007275)	4941	1303	1042.18	+	1.25	3.30E-16	1.14E-13
negative regulation of metabolic process (GO:0009892)	3095	875	652.81	+	1.34	3.29E-16	1.15E-13
developmental process (GO:0032502)	5797	1495	1222.73	+	1.22	3.96E-16	1.33E-13
generation of neurons (GO:0048699)	1271	423	268.09	+	1.58	5.43E-16	1.79E-13
system development (GO:0048731)	4330	1161	913.31	+	1.27	5.96E-16	1.92E-13
neurogenesis (GO:0022008)	1391	453	293.40	+	1.54	6.97E-16	2.20E-13
organic substance metabolic process (GO:0071704)	7840	1937	1653.65	+	1.17	1.76E-15	5.44E-13
positive regulation of nitrogen compound metabolic process (GO:0051173)	3123	875	658.72	+	1.33	2.15E-15	6.53E-13
positive regulation of metabolic process (GO:0009893)	3820	1038	805.73	+	1.29	2.44E-15	7.13E-13
metabolic process (GO:0008152)	8313	2038	1753.42	+	1.16	2.40E-15	7.15E-13
negative regulation of RNA metabolic process (GO:0051253)	1408	454	296.98	+	1.53	2.63E-15	7.55E-13
Unclassified (UNCLASSIFIED)	2744	395	578.78	-	.68	2.90E-15	8.04E-13
biological_process (GO:0008150)	17851	3949	3765.22	+	1.05	2.90E-15	8.18E-13
positive regulation of macromolecule biosynthetic process (GO:0010557)	1863	567	392.95	+	1.44	5.28E-15	1.44E-12
negative regulation of nucleobase-containing compound metabolic process (GO:0045934)	1528	482	322.29	+	1.50	6.93E-15	1.86E-12
positive regulation of cellular process (GO:0048522)	5741	1470	1210.92	+	1.21	7.34E-15	1.93E-12
negative regulation of transcription, DNA-templated (GO:0045892)	1297	422	273.57	+	1.54	9.68E-15	2.51E-12
macromolecule metabolic process (GO:0043170)	6151	1559	1297.40	+	1.20	1.16E-14	2.96E-12
positive regulation of macromolecule metabolic process (GO:0010604)	3522	962	742.88	+	1.29	1.30E-14	3.20E-12
negative regulation of nucleic acid-templated transcription (GO:1903507)	1299	422	273.99	+	1.54	1.29E-14	3.23E-12
negative regulation of RNA biosynthetic process (GO:1902679)	1301	422	274.41	+	1.54	1.36E-14	3.31E-12
anatomical structure development (GO:0048856)	5330	1375	1124.23	+	1.22	1.47E-14	3.52E-12
anatomical structure morphogenesis (GO:0009653)	2158	635	455.18	+	1.40	2.60E-14	6.14E-12
cellular component organization (GO:0016043)	5783	1473	1219.78	+	1.21	3.02E-14	7.01E-12
positive regulation of RNA metabolic process (GO:0051254)	1773	539	373.97	+	1.44	3.89E-14	8.91E-12
positive regulation of biosynthetic process (GO:0009891)	2004	595	422.69	+	1.41	4.97E-14	1.12E-11
positive regulation of cellular biosynthetic process (GO:0031328)	1969	585	415.31	+	1.41	7.45E-14	1.66E-11
neuron differentiation (GO:0030182)	1043	350	219.99	+	1.59	9.19E-14	2.02E-11
positive regulation of biological process (GO:0048518)	6331	1589	1335.37	+	1.19	1.08E-13	2.31E-11
negative regulation of transcription by RNA polymerase II (GO:0000122)	906	313	191.10	+	1.64	1.07E-13	2.31E-11
cellular process (GO:0009987)	15495	3493	3268.28	+	1.07	1.46E-13	3.08E-11
regulation of cell communication (GO:0010646)	3509	944	740.14	+	1.28	6.89E-13	1.43E-10
regulation of signaling (GO:0023051)	3545	952	747.73	+	1.27	7.21E-13	1.48E-10
positive regulation of transcription, DNA-templated (GO:0045893)	1628	492	343.39	+	1.43	1.39E-12	2.78E-10
positive regulation of RNA biosynthetic process (GO:1902680)	1629	492	343.60	+	1.43	1.41E-12	2.79E-10
positive regulation of nucleic acid-templated transcription (GO:1903508)	1628	492	343.39	+	1.43	1.39E-12	2.82E-10
